validationSplit:0.2
correspondingWeights:/usr/stud/alleboud/vision/trainedweights/04-11PM_April-10-2017_kc_LSTM.h5
batchSize:100
Beta:500
meanOfMeansImage:False
startingweights:/usr/stud/alleboud/vision/trainedweights/weights/mergedweights.h5
total number of samples:1019
val_loss,loss
1460.90780969,1103.35381163
1501.95236116,1118.21146622
1467.83508091,1108.63938351
1498.96452631,1115.55628153
1470.74165195,1096.39559955
1461.19297731,1105.53704441
1450.67273697,1106.80769975
1464.07886849,1093.14158846
1479.05150679,1088.64907874
1445.31371981,1105.79986291
1447.21315212,1095.67383936
1461.1373665,1094.31143563
1461.85460079,1086.67451617
1452.42252694,1084.17425294
1440.00793517,1092.8830469
1437.15453593,1086.23120155
1444.93942859,1080.9106934
1447.34633801,1075.20013783
1477.10775158,1073.99400376
1455.13508815,1072.70740495
1420.69556592,1070.19390588
1431.34010315,1070.09195583
1429.24897946,1067.15952811
1471.7652187,1087.51086388
1438.548058,1083.12869188
1453.96729563,1072.9310035
1405.5833459,1066.05501308
1425.90401773,1062.29548991
1419.7003482,1051.0693599
1402.20804372,1054.00144406
1393.08715431,1051.2334649
1438.15046991,1057.04630509
1417.55656493,1047.56786098
1449.12883295,1060.3294938
1413.80445952,1054.46603543
1414.67133675,1055.07201325
1412.72967649,1047.87366378
1383.96410534,1038.62540047
1405.28197883,1033.08219788
1408.86304788,1033.9878057
1428.38001147,1034.62749551
1407.68150928,1033.62073952
1399.88294474,1041.52137241
1418.61608947,1038.26061188
1378.21987646,1027.69404724
1380.54633526,1036.72135036
1382.41874186,1032.55186172
1393.86266462,1042.70220741
1392.8420096,1024.98844563
1378.09061058,1027.21785563
1355.78803238,1019.70261968
1379.81173706,1017.41268584
1406.43960631,1017.4821899
1370.85808937,1010.04373918
1397.11368247,1013.47624178
1374.69722553,1022.36476538
1373.56816011,1002.75700762
1335.2100501,1003.49634051
1387.43387738,999.409339577
1356.70089841,1020.87906108
1357.70836654,1006.20714115
1361.42670037,997.0643509
1383.65533687,994.86175069
1383.94132756,1008.55159643
1347.91105891,996.511879763
1378.34360788,993.568559518
1325.51976971,987.600525464
1364.30297193,988.130875102
1316.4780061,984.353416583
1335.47338807,978.52221455
1373.49569283,988.090832295
1346.85547773,987.340295335
1348.37756348,984.569860915
1309.56464102,974.793213078
1335.48545748,973.759749524
1316.99207291,963.51693632
1341.73942835,973.940263432
1314.54487101,971.485963225
1338.03281986,968.379187836
1333.48608877,986.461405748
1343.6524751,956.843792687
1303.51685229,945.858396565
1311.5804204,965.576203516
1336.51302383,950.056506011
1327.73066891,956.031171927
1342.38247022,956.142089095
1271.81790101,957.535381107
1302.64413213,951.618993279
1286.98399084,940.833508263
1330.56378682,939.574229235
1310.4616026,941.461400319
1340.67886053,947.671437644
1294.00948379,951.293282164
1288.0232164,947.261200138
1300.4048058,947.953300804
1275.73536233,931.559955433
1299.69649939,932.360719084
1280.21994019,924.471409897
1294.3731474,919.216665256
1320.79602021,928.617859636
1276.79523154,923.528203672
1256.65098123,924.762571744
1260.8352329,925.43610368
1279.13952846,919.129784894
1267.57658416,924.205264413
1291.74301686,914.115709925
1265.25354064,925.371436932
1282.18173337,906.255480433
1273.36445588,907.262097318
1288.21344802,903.350128736
1269.24236522,900.315731119
1244.96178152,898.772218669
1211.98301039,905.708382074
1244.78956454,891.466146832
1246.23024914,914.109712753
1248.45162126,894.088461098
1261.37957315,883.262841722
1259.89696069,891.984828083
1244.2601085,890.272221665
1254.5995262,884.866143537
1263.1711333,883.983615243
1217.97481701,884.700194751
1256.32681215,880.296774086
1263.39131524,879.508016949
1237.82077086,880.847400876
1228.48104021,886.319232028
1202.63786495,878.070184813
1237.62554692,868.09400294
1246.40246043,882.052062988
1266.1426236,876.956831107
1215.22344731,863.320123403
1237.69740535,864.465411976
1199.28988019,869.431599248
1225.00376324,865.84963802
1218.47688264,860.412679661
1236.47505727,863.50560475
1218.20722034,870.064607023
1228.94768808,853.095965052
1211.60829791,852.188464206
1244.429467,851.929637511
1199.93236048,860.300631658
1228.66253542,848.159588398
1213.847673,856.426831017
1208.10774321,838.465614553
1241.98770949,859.103404039
1196.67307655,847.091595047
1194.98479806,834.651008278
1187.17455127,842.390549361
1214.6366637,836.575115368
1176.23888263,842.06426796
1210.20984365,844.38206847
1197.44787388,844.94867711
1187.6312567,823.305523457
1203.17075483,822.130855069
1200.67625038,830.366014914
1166.51250712,820.226339329
1175.82437702,822.487121395
1210.14918189,829.542754378
1189.7337458,821.487169699
1205.42780977,819.967821554
1185.04552923,827.579367421
1187.71218423,818.62599491
1173.89082277,822.729542738
1209.68204603,819.856411799
1160.8139062,819.90553162
1175.42714916,803.264816565
1181.01146743,801.6562075
1178.62309205,804.703047302
1164.12152489,801.045222932
1181.98367579,799.621727317
1175.97211471,795.710556124
1163.89997056,797.773778248
1145.23812358,790.733871928
1181.32677894,791.282347322
1180.98299243,794.176886436
1157.47596023,790.970934909
1167.06188516,795.977076244
1171.2377445,798.917733783
1130.40937476,785.964631438
1137.88272035,783.677656677
1137.49155591,787.418407042
1156.83072199,789.655427149
1160.2041264,778.93554519
1127.24662123,773.302983196
1133.77382735,780.054606057
1125.72103239,766.051785896
1155.13631185,773.228283467
1115.00307255,767.562575077
1120.92984368,772.769197991
1141.31754228,760.689019888
1108.96094947,761.374016885
1097.48982418,748.554284968
1161.33763601,753.852774404
1107.26273989,763.239656694
1098.62075985,746.541254523
1101.00069113,758.391505329
1145.82121995,755.559676282
1096.81297841,754.274782707
1112.42801292,750.894281305
1130.24005396,744.034905369
1149.4937439,748.278840796
1098.9827465,740.082653209
1131.16671663,743.833604309
1123.71968228,734.841698395
1099.26861782,741.790025395
1125.41029657,730.68697184
1082.48186747,712.933179797
1067.31012786,729.369795536
1107.5056637,722.9869821
1072.29674485,719.91038354
1082.6000088,722.735477939
1048.58552132,725.233087645
1111.30106399,723.458470257
1078.76934066,727.673149811
1060.61708398,712.576795707
1090.6455485,718.401299974
1114.55938062,707.712800383
1074.76070269,704.011125249
1078.72491874,706.075081293
1110.64728023,696.83852101
1065.13138221,712.658982353
1087.18124225,704.488106382
1086.92029108,709.670395553
1043.86689698,711.297056982
1056.39372074,705.423775702
1061.85570332,694.818934154
1057.15149255,702.090311998
1072.05362028,703.310815355
1053.24094615,695.633485572
1047.39400078,678.414293722
1071.95155574,688.942410896
1052.24030244,676.481571689
1028.45869087,687.508083133
1022.14913432,688.9418393
1108.43263514,690.120468327
1015.54076131,684.910632549
1048.29751198,688.681234722
1036.65132859,687.823840931
1020.54410299,676.237689902
1048.11167399,670.068755542
1031.16850999,671.186334247
1045.78296108,665.547454928
1032.5726809,669.979736703
1039.76627096,674.431910041
1023.54038059,676.20882617
1064.50833968,665.155020591
1027.24902374,672.495883684
1023.36466202,666.26717812
1022.44957524,670.427529177
1036.74487065,667.346289886
1022.82657818,664.71649535
1052.96895016,664.056579964
1018.79061949,666.899607091
1029.68532712,673.003272121
984.523492402,663.909672837
1006.76141328,650.574386129
1008.41050586,656.840424707
1027.86996864,656.864494464
1040.27776023,658.318997997
1032.35024516,653.070050199
1004.62800359,650.984829674
1028.31791896,645.151496653
993.768016591,655.079002895
984.646544812,642.10093249
1027.51091512,650.147984042
1041.66586962,643.030662583
1008.28999837,648.07949567
1027.0205666,657.266959348
1039.23659171,649.661935069
1007.16140448,654.110372532
1053.69534257,642.419390439
1048.06854757,646.279989605
996.501130646,635.282801435
1000.14620867,636.030652848
998.217012892,639.193005708
1005.04805127,642.202457545
1000.98837086,638.240360939
1026.13156936,638.921243679
985.077575684,638.269962989
979.785121394,631.666041088
1036.75123357,633.823232358
1006.34001429,637.151156279
1029.27217506,637.723800004
1021.33698886,631.232454265
999.878508026,629.76840884
1008.3088898,631.877903663
1042.87987384,641.32928523
1015.86573672,648.05385847
1005.81566545,643.323370717
1027.23382194,642.026744445
1029.34353009,623.590903627
1014.1619719,635.412535591
982.304773667,634.197386946
1029.9545336,631.405784279
989.975086287,627.533177007
982.184129154,624.485678269
1002.73061057,625.262562102
991.837985618,632.017506324
989.147842108,623.380749474
974.348698336,622.360321232
982.300079047,624.562396746
1013.40062878,621.04849964
980.508350896,624.804187611
960.613139433,622.643004248
1008.57122294,622.093004098
976.812543383,619.810661831
985.129337535,616.887067268
939.883174971,625.549440723
979.34359068,622.007925396
1007.3221992,623.156377406
966.202760584,612.760747243
974.885668736,618.501477949
988.649325053,609.053138218
974.323785221,616.482829369
997.472487057,607.277386999
993.185327418,612.946339332
966.180256114,616.907985945
987.037775526,618.700195593
959.948673772,610.221732017
1005.16444711,605.438478903
991.193718405,610.1335086
990.736958672,610.218143487
973.460581162,601.311209743
967.523192462,602.450968643
970.838353774,624.382035144
990.446471121,614.635046836
1018.58305793,598.92093504
967.232385822,616.982181385
974.382993661,608.7695144
958.823573842,610.043993242
971.438241996,599.139422551
964.117942062,609.119176104
983.688999251,601.07446261
976.980985754,615.666909715
1034.84653428,616.262991782
966.437667099,614.386106152
963.697139067,608.517650394
936.260400809,598.316596283
945.774141499,604.048006023
988.464997834,604.24919091
975.647680694,597.125802818
945.879930384,596.875770241
982.805064183,601.953592499
981.559630749,596.032842437
916.205546211,608.001443687
993.398669972,601.587587696
928.640690224,602.30907604
982.926805384,604.718078332
1003.56110876,603.331766327
972.516884,592.971938619
1001.93724883,597.08528624
943.431868908,597.940950171
937.89442025,590.515143459
918.987064436,593.796419764
963.72934319,598.366148966
941.148209067,595.505709502
935.03728889,600.498120361
953.072677313,589.373702909
955.559947594,595.014835662
970.449060777,589.957643474
949.009641311,582.461101134
967.966013142,593.220421446
926.605264701,586.664302241
954.617725148,587.219928484
951.321645101,596.137950406
970.27128272,585.248750464
935.4507554,588.673926324
937.882244035,582.82690645
959.267343409,586.492627103
967.176170648,588.712721749
968.891682943,589.839337589
982.637911329,590.793631431
963.579347947,586.263620482
941.216071035,589.938105109
953.995063931,580.987530199
982.627829159,576.928639699
932.346318862,579.881947898
938.26698393,583.169134035
933.870060042,571.256146671
960.78022796,576.498036203
944.289383832,576.46058711
951.456696305,581.939940751
958.993478214,580.862939004
917.254352495,578.157820813
970.390946482,578.969307086
939.617123473,587.060172613
950.614776761,583.529714573
940.050789029,584.168241442
969.428383322,577.075593258
959.765554989,581.263343764
935.68802957,572.147833327
913.623434777,574.834592573
929.507553699,577.995785953
923.947485531,577.528384437
987.911105885,569.138909182
934.330609639,577.768596719
935.869114446,580.794596198
931.887888441,574.626480103
952.639483433,570.625221018
994.404542512,570.041699462
956.258918164,574.66419
969.649388781,584.525738862
938.02711053,570.370929835
960.777602401,572.104650954
955.482254328,570.249129875
957.049967747,567.074349058
950.52295625,561.275775465
920.415696686,569.637038342
934.632336186,569.078576211
945.524870929,572.319059313
921.866966696,571.704950625
968.766590492,569.528290918
952.018249213,571.208234822
908.007065268,570.786658071
972.971469655,576.929308371
935.643222584,571.126504816
943.650325401,570.798747712
946.276419247,567.348896331
919.463849535,581.203538579
946.489587073,562.326266049
961.987090466,573.016737675
968.096019969,583.153895559
948.137497547,568.774419118
963.183163063,569.713016908
990.345914055,561.606219613
953.813476114,566.342213449
952.408461028,563.750965797
911.676823186,564.16618394
950.208625644,548.818394105
966.715290144,562.505524711
909.050609813,566.789686144
934.930269129,559.42544668
916.780632169,575.50091066
969.22301558,577.52838088
923.400592131,558.32018706
915.642537136,567.864557372
915.132678761,565.520231844
950.250799291,564.893439732
968.027435602,563.188297202
964.109972935,561.46364542
908.586755192,560.001554711
948.162773132,558.561347634
931.515887691,557.579319304
959.693716311,550.027103822
902.573512657,563.261428833
964.781541563,561.590187588
965.698532104,564.582218755
947.198017195,553.697924187
920.268741234,560.656252059
915.980783799,554.234372753
938.762031705,555.116149528
941.742297453,562.848068237
951.803590962,560.395733418
882.358312869,555.147225971
924.571371191,555.120632616
944.338030198,563.311861003
967.636498246,548.827469434
978.090814628,562.102654206
945.753627254,555.646995872
944.593739229,550.626160042
980.703583063,551.385190063
972.00919746,545.68055463
959.931700314,554.776311863
902.136988771,554.455321704
956.206184836,548.215468331
932.839485019,557.990622959
924.514162999,555.5337721
976.872525533,556.744289094
946.029194701,547.031674719
943.707177555,549.577992632
932.194565119,546.567400692
938.459777832,548.120669968
945.238312067,546.892739512
